lat_O,lon_O,lat_D,lon_D,group,count,distance,norm_total,norm_group
-33.4022556,-70.5778,-33.402107,-70.57827,3,420,0.04672589453173389,0.0005274526548450294,0.0018078512396694215
-33.4022556,-70.5778,-33.402107,-70.57827,4,540,0.04672589453173389,0.0006781534133721807,0.0016220112940045657
-33.402107,-70.57827,-33.4022556,-70.5778,4,500,0.04672589453173389,0.0006279198271964636,0.0015018623092634866
-33.417793,-70.606604,-33.417494,-70.606156,4,440,0.05325449097194178,0.000552569447932888,0.0013216388321518682
-33.417793,-70.606604,-33.41827777,-70.6063916667,4,1120,0.05727908522451166,0.0014065404129200783,0.00336417157275021
-33.41827777,-70.6063916667,-33.417793,-70.606604,4,980,0.05727908522451166,0.0012307228613050686,0.002943650126156434
-33.417793,-70.606604,-33.41827777,-70.6063916667,2,360,0.05727908522451166,0.0004521022755814538,0.002001779359430605
-33.41827777,-70.6063916667,-33.417793,-70.606604,3,580,0.05727908522451166,0.0007283869995478977,0.002496556473829201
-33.41827777,-70.6063916667,-33.417793,-70.606604,2,340,0.05727908522451166,0.0004269854824935952,0.0018905693950177936
-33.390478,-70.545018,-33.39104,-70.54533,4,780,0.06876003461446333,0.0009795549304264831,0.002342905202451039
-33.39104,-70.54533,-33.390478,-70.545018,4,620,0.06876003461446333,0.0007786205857236148,0.0018623092634867235
-33.480293,-70.751692,-33.480293,-70.750603,4,380,0.10121557385859747,0.0004772190686693123,0.0011414153550402498
-33.480293,-70.750603,-33.480293,-70.751692,4,540,0.10121557385859747,0.0006781534133721807,0.0016220112940045657
-33.480293,-70.750603,-33.480293,-70.751692,3,400,0.10121557385859747,0.0005023358617571709,0.001721763085399449
-33.45206,-70.67684,-33.451525,-70.677805,4,340,0.10756712932465275,0.0004269854824935952,0.001021266370299171
-33.4233,-70.6099,-33.422401,-70.609352,4,380,0.11198064608291854,0.0004772190686693123,0.0011414153550402498
-33.422401,-70.609352,-33.4233,-70.6099,4,360,0.11198064608291854,0.0004521022755814538,0.0010813408626697105
-33.364834,-70.678337,-33.365936,-70.678437,4,720,0.12257770520475315,0.0009042045511629076,0.002162681725339421
-33.365936,-70.678437,-33.364834,-70.678337,4,580,0.12257770520475315,0.0007283869995478977,0.0017421602787456446
-33.44067,-70.64675,-33.4394306,-70.6471028,4,460,0.14132501704392525,0.0005776862410207464,0.0013817133245224078
-33.4394306,-70.6471028,-33.44067,-70.64675,4,340,0.14132501704392525,0.0004269854824935952,0.001021266370299171
-33.4505,-70.6788611111,-33.451525,-70.677805,4,660,0.15021976052149477,0.0008288541718993319,0.0019824582482278023
-33.61030556,-70.70419444,-33.611416,-70.705406,3,440,0.1667686457032405,0.000552569447932888,0.001893939393939394
-33.611416,-70.705406,-33.61030556,-70.70419444,3,360,0.1667686457032405,0.0004521022755814538,0.0015495867768595042
-33.61030556,-70.70419444,-33.611416,-70.705406,4,400,0.1667686457032405,0.0005023358617571709,0.0012014898474107894
-33.417946,-70.603203,-33.416661,-70.604415,4,420,0.1817149188217933,0.0005274526548450294,0.001261564339781329
-33.416661,-70.604415,-33.417946,-70.603203,4,520,0.1817149188217933,0.0006530366202843221,0.0015619368016340262
-33.448898,-70.652397,-33.447539,-70.651178,4,500,0.18858815701388068,0.0006279198271964636,0.0015018623092634866
-33.447539,-70.651178,-33.448898,-70.652397,4,380,0.18858815701388068,0.0004772190686693123,0.0011414153550402498
-33.4022556,-70.5778,-33.4035611111,-70.5791694444,4,400,0.192860726330873,0.0005023358617571709,0.0012014898474107894
-33.4202,-70.609802,-33.42118333,-70.6079138889,4,340,0.2067193503783638,0.0004269854824935952,0.001021266370299171
-33.414636,-70.583264,-33.414167,-70.580833,4,380,0.23202292247534959,0.0004772190686693123,0.0011414153550402498
-33.4424389,-70.6408278,-33.4403,-70.6411,4,620,0.23857679200071713,0.0007786205857236148,0.0018623092634867235
-33.4403,-70.6411,-33.4424389,-70.6408278,4,360,0.23857679200071713,0.0004521022755814538,0.0010813408626697105
-33.414,-70.65553,-33.413937,-70.652961,4,440,0.23905602777667292,0.000552569447932888,0.0013216388321518682
-33.413937,-70.652961,-33.414,-70.65553,4,340,0.23905602777667292,0.0004269854824935952,0.001021266370299171
-33.510078,-70.605293,-33.51015555,-70.6079,3,660,0.24237355842897257,0.0008288541718993319,0.002840909090909091
-33.510078,-70.605293,-33.51015555,-70.6079,2,900,0.24237355842897257,0.0011302556889536343,0.005004448398576513
-33.51015555,-70.6079,-33.510078,-70.605293,3,440,0.24237355842897257,0.000552569447932888,0.001893939393939394
-33.51015555,-70.6079,-33.510078,-70.605293,2,660,0.24237355842897257,0.0008288541718993319,0.0036699288256227757
-33.510078,-70.605293,-33.51015555,-70.6079,4,480,0.24237355842897257,0.000602803034108605,0.0014417878168929473
-33.517637,-70.598107,-33.516998,-70.595596,3,460,0.2438106057692403,0.0005776862410207464,0.0019800275482093664
-33.4202,-70.609802,-33.422401,-70.609352,4,400,0.247679039765435,0.0005023358617571709,0.0012014898474107894
-33.42942,-70.64539,-33.428677,-70.642776,4,520,0.2566854605950191,0.0006530366202843221,0.0015619368016340262
-33.428677,-70.642776,-33.42942,-70.64539,4,600,0.2566854605950191,0.0007535037926357563,0.0018022347711161841
-33.434583,-70.667222,-33.432536,-70.66867,4,440,0.2639654650330027,0.000552569447932888,0.0013216388321518682
-33.4407505,-70.6149041,-33.441399,-70.617691,4,400,0.2689378782848165,0.0005023358617571709,0.0012014898474107894
-33.455774,-70.70637,-33.45829,-70.706787,4,540,0.28173618412167284,0.0006781534133721807,0.0016220112940045657
-33.45829,-70.706787,-33.455774,-70.70637,4,480,0.28173618412167284,0.000602803034108605,0.0014417878168929473
-33.3997,-70.57774,-33.4022556,-70.5778,4,860,0.28350067252375755,0.0010800221027779174,0.0025832031719331973
-33.4022556,-70.5778,-33.3997,-70.57774,4,580,0.28350067252375755,0.0007283869995478977,0.0017421602787456446
-33.40442777,-70.5722111111,-33.40691,-70.571312,4,360,0.2877325696261297,0.0004521022755814538,0.0010813408626697105
-33.40691,-70.571312,-33.40442777,-70.5722111111,4,360,0.2877325696261297,0.0004521022755814538,0.0010813408626697105
-33.457394,-70.625793,-33.454881,-70.626636,4,1520,0.28953250647157003,0.0019088762746772492,0.004565661420160999
-33.454881,-70.626636,-33.457394,-70.625793,4,1260,0.28953250647157003,0.0015823579645350882,0.0037846930193439865
-33.433998,-70.6773,-33.43370833,-70.6741027778,4,520,0.29905059287641256,0.0006530366202843221,0.0015619368016340262
-33.43370833,-70.6741027778,-33.433998,-70.6773,4,340,0.29905059287641256,0.0004269854824935952,0.001021266370299171
-33.4449,-70.6364,-33.44508,-70.63319,4,420,0.2991368398755897,0.0005274526548450294,0.001261564339781329
-33.45112,-70.65425,-33.448898,-70.652397,4,380,0.3006963687113841,0.0004772190686693123,0.0011414153550402498
-33.446815,-70.639649,-33.44601,-70.642765,2,420,0.3031703408588719,0.0005274526548450294,0.002335409252669039
-33.44601,-70.642765,-33.446815,-70.639649,4,520,0.3031703408588719,0.0006530366202843221,0.0015619368016340262
-33.44601,-70.642765,-33.446815,-70.639649,2,380,0.3031703408588719,0.0004772190686693123,0.0021129893238434165
-33.446815,-70.639649,-33.44601,-70.642765,4,420,0.3031703408588719,0.0005274526548450294,0.001261564339781329
-33.45206,-70.67684,-33.451483,-70.67362,4,380,0.3061401470491851,0.0004772190686693123,0.0011414153550402498
-33.415394,-70.608292,-33.417793,-70.606604,4,400,0.3089456414256041,0.0005023358617571709,0.0012014898474107894
-33.419417,-70.534028,-33.416626,-70.534042,4,460,0.3095579040153718,0.0005776862410207464,0.0013817133245224078
-33.454,-70.59581,-33.4556333,-70.5930528,4,580,0.31388901064269664,0.0007283869995478977,0.0017421602787456446
-33.4556333,-70.5930528,-33.454,-70.59581,4,400,0.31388901064269664,0.0005023358617571709,0.0012014898474107894
-33.417793,-70.606604,-33.417946,-70.603203,4,380,0.3167825306508395,0.0004772190686693123,0.0011414153550402498
-33.417946,-70.603203,-33.417793,-70.606604,4,360,0.3167825306508395,0.0004521022755814538,0.0010813408626697105
-33.390478,-70.545018,-33.3878805556,-70.5434694444,4,640,0.32210613725122306,0.0008037373788114733,0.001922383755857263
-33.446135,-70.653543,-33.448898,-70.652397,4,720,0.32444708301181496,0.0009042045511629076,0.002162681725339421
-33.448898,-70.652397,-33.446135,-70.653543,4,560,0.32444708301181496,0.0007032702064600391,0.001682085786375105
-33.4202,-70.609802,-33.41966666,-70.6063361111,4,400,0.3277379578569805,0.0005023358617571709,0.0012014898474107894
-33.414636,-70.583264,-33.415501,-70.586792,3,340,0.34188742282413814,0.0004269854824935952,0.0014634986225895317
-33.415501,-70.586792,-33.414636,-70.583264,3,360,0.34188742282413814,0.0004521022755814538,0.0015495867768595042
-33.415501,-70.586792,-33.414636,-70.583264,4,400,0.34188742282413814,0.0005023358617571709,0.0012014898474107894
-33.414636,-70.583264,-33.415501,-70.586792,4,500,0.34188742282413814,0.0006279198271964636,0.0015018623092634866
-33.4488,-70.6684,-33.451173,-70.666031,4,500,0.34320003116251785,0.0006279198271964636,0.0015018623092634866
-33.451173,-70.666031,-33.4488,-70.6684,4,460,0.34320003116251785,0.0005776862410207464,0.0013817133245224078
