lat_O,lon_O,lat_D,lon_D,group,count,distance,norm_total,norm_group
-33.611416,-70.705406,-33.61030556,-70.70419444,3,720,0.1667686457032405,0.0007083685877885127,0.0022279985146676567
-33.61030556,-70.70419444,-33.611416,-70.705406,3,480,0.1667686457032405,0.00047224572519234177,0.0014853323431117712
-33.4022556,-70.5778,-33.4035611111,-70.5791694444,4,500,0.192860726330873,0.0004919226304086893,0.0013439415116654123
-33.45498333,-70.6139250003,-33.453263,-70.615119,4,480,0.22074823382414796,0.00047224572519234177,0.0012901838511987958
-33.413937,-70.652961,-33.414,-70.65553,4,660,0.23905602777667292,0.00064933787213947,0.0017740027953983442
-33.4202,-70.609802,-33.422401,-70.609352,4,480,0.247679039765435,0.00047224572519234177,0.0012901838511987958
-33.42942,-70.64539,-33.428677,-70.642776,4,540,0.2566854605950191,0.0005312764408413845,0.0014514568325986453
-33.428677,-70.642776,-33.42942,-70.64539,4,900,0.2566854605950191,0.0008854607347356407,0.002419094720997742
-33.447884,-70.645272,-33.449436,-70.647504,4,880,0.26962506155889326,0.0008657838295192932,0.0023653370605311256
-33.45829,-70.706787,-33.455774,-70.70637,4,520,0.28173618412167284,0.0005115995356250369,0.0013976991721320288
-33.4022556,-70.5778,-33.3997,-70.57774,4,560,0.28350067252375755,0.000550953346057732,0.0015052144930652617
-33.3997,-70.57774,-33.4022556,-70.5778,4,780,0.28350067252375755,0.0007673993034375553,0.002096548758198043
-33.457394,-70.625793,-33.454881,-70.626636,4,1480,0.28953250647157003,0.0014560909860097204,0.00397806687452962
-33.454881,-70.626636,-33.457394,-70.625793,4,1600,0.28953250647157003,0.0015741524173078058,0.004300612837329319
-33.4089,-70.56791,-33.4067,-70.5662,4,700,0.2912743845307596,0.0006886916825721651,0.0018815181163315772
-33.433998,-70.6773,-33.43370833,-70.6741027778,4,540,0.29905059287641256,0.0005312764408413845,0.0014514568325986453
-33.43370833,-70.6741027778,-33.433998,-70.6773,4,500,0.29905059287641256,0.0004919226304086893,0.0013439415116654123
-33.45112,-70.65425,-33.448898,-70.652397,4,540,0.3006963687113841,0.0005312764408413845,0.0014514568325986453
-33.446815,-70.639649,-33.44601,-70.642765,4,700,0.3031703408588719,0.0006886916825721651,0.0018815181163315772
-33.446815,-70.639649,-33.44601,-70.642765,2,680,0.3031703408588719,0.0006690147773558175,0.0027649020086199885
-33.44601,-70.642765,-33.446815,-70.639649,4,600,0.3031703408588719,0.0005903071564904272,0.0016127298139984947
-33.44601,-70.642765,-33.446815,-70.639649,2,740,0.3031703408588719,0.0007280454930048602,0.0030088639505570463
-33.416626,-70.534042,-33.419417,-70.534028,4,520,0.3095579040153718,0.0005115995356250369,0.0013976991721320288
-33.454,-70.59581,-33.4556333,-70.5930528,4,700,0.31388901064269664,0.0006886916825721651,0.0018815181163315772
-33.446135,-70.653543,-33.448898,-70.652397,4,580,0.32444708301181496,0.0005706302512740796,0.0015589721535318782
-33.448898,-70.652397,-33.446135,-70.653543,4,700,0.32444708301181496,0.0006886916825721651,0.0018815181163315772
-33.4136139,-70.6112861,-33.415394,-70.608292,4,500,0.34137718012217777,0.0004919226304086893,0.0013439415116654123
-33.415501,-70.586792,-33.414636,-70.583264,4,540,0.34188742282413814,0.0005312764408413845,0.0014514568325986453
-33.451173,-70.666031,-33.4488,-70.6684,4,640,0.34320003116251785,0.0006296609669231223,0.0017202451349317277
-33.452523,-70.608743,-33.453567,-70.605164,4,660,0.35232087109219684,0.00064933787213947,0.0017740027953983442
-33.47103,-70.64481,-33.472947,-70.64798,3,560,0.36336121069562405,0.000550953346057732,0.0017328877336303997
-33.567475,-70.586192,-33.56896,-70.582621,2,560,0.3702225416823824,0.000550953346057732,0.002276978124745873
-33.423917,-70.650656,-33.421299,-70.653191,4,840,0.374031986391247,0.000826430019086598,0.0022578217395978926
-33.423917,-70.650656,-33.421299,-70.653191,3,600,0.374031986391247,0.0005903071564904272,0.001856665428889714
-33.421299,-70.653191,-33.423917,-70.650656,3,500,0.374031986391247,0.0004919226304086893,0.0015472211907414284
-33.421299,-70.653191,-33.423917,-70.650656,4,760,0.374031986391247,0.0007477223982212078,0.0020427910977314266
-33.44601,-70.642765,-33.44422,-70.64629,2,500,0.38319849275127726,0.0004919226304086893,0.0020330161828088153
-33.4556333,-70.5930528,-33.457083,-70.589306,4,480,0.3836560278405588,0.00047224572519234177,0.0012901838511987958
-33.457083,-70.589306,-33.4556333,-70.5930528,4,640,0.3836560278405588,0.0006296609669231223,0.0017202451349317277
-33.423056,-70.589611,-33.425967,-70.59205,4,680,0.39458294873773136,0.0006690147773558175,0.0018277604558649607
-33.385431,-70.529475,-33.383701,-70.533203,4,560,0.3964068916375965,0.000550953346057732,0.0015052144930652617
-33.43370833,-70.6741027778,-33.436549,-70.671503,4,500,0.39713084303860596,0.0004919226304086893,0.0013439415116654123
-33.4425,-70.758889,-33.44233,-70.763284,2,480,0.409099520673315,0.00047224572519234177,0.0019516955354964625
-33.4425,-70.758889,-33.44233,-70.763284,4,500,0.409099520673315,0.0004919226304086893,0.0013439415116654123
-33.381111,-70.641389,-33.384567,-70.639847,3,760,0.40928280405793477,0.0007477223982212078,0.002351776209926971
-33.381111,-70.641389,-33.384567,-70.639847,4,540,0.40928280405793477,0.0005312764408413845,0.0014514568325986453
-33.384567,-70.639847,-33.381111,-70.641389,4,500,0.40928280405793477,0.0004919226304086893,0.0013439415116654123
-33.4267,-70.6044,-33.424015,-70.607475,4,500,0.4128798319823515,0.0004919226304086893,0.0013439415116654123
-33.419189,-70.663139,-33.41642222,-70.6662694444,3,920,0.42301852154414776,0.0009051376399519883,0.002846886990964228
-33.41642222,-70.6662694444,-33.419189,-70.663139,3,860,0.42301852154414776,0.0008461069243029456,0.0026612204480752568
-33.366215,-70.726887,-33.369301,-70.724197,4,620,0.42405230506868097,0.0006099840617067747,0.0016664874744651112
-33.369301,-70.724197,-33.366215,-70.726887,4,800,0.42405230506868097,0.0007870762086539029,0.0021503064186646596
-33.44601,-70.642765,-33.4424389,-70.6408278,2,520,0.43511347809714823,0.0005115995356250369,0.0021143368301211676
-33.439838,-70.674465,-33.436549,-70.671503,4,700,0.4570939680006002,0.0006886916825721651,0.0018815181163315772
-33.436549,-70.671503,-33.439838,-70.674465,4,680,0.4570939680006002,0.0006690147773558175,0.0018277604558649607
-33.597679,-70.603363,-33.593806,-70.601639,3,1560,0.4584113875271818,0.0015347986068751107,0.004827330115113257
-33.593806,-70.601639,-33.597679,-70.603363,3,1820,0.4584113875271818,0.001790598374687629,0.005631885134298799
-33.439838,-70.674465,-33.442442,-70.670556,4,1140,0.4642543779300131,0.0011215835973318116,0.00306418664659714
-33.442442,-70.670556,-33.439838,-70.674465,4,980,0.4642543779300131,0.0009641683556010311,0.002634125362864208
-33.4220833333,-70.6023333333,-33.425759,-70.599658,4,540,0.4776074081110562,0.0005312764408413845,0.0014514568325986453
-33.425759,-70.599658,-33.4220833333,-70.6023333333,4,640,0.4776074081110562,0.0006296609669231223,0.0017202451349317277
-33.4619,-70.6955,-33.4599,-70.690895,4,480,0.4821582872319059,0.00047224572519234177,0.0012901838511987958
-33.4599,-70.690895,-33.4619,-70.6955,4,480,0.4821582872319059,0.00047224572519234177,0.0012901838511987958
-33.411194,-70.588389,-33.412067,-70.593553,4,580,0.49000086355827605,0.0005706302512740796,0.0015589721535318782
-33.495056,-70.655881,-33.4931,-70.6511,3,920,0.494430924209297,0.0009051376399519883,0.002846886990964228
-33.4931,-70.6511,-33.495056,-70.655881,3,740,0.494430924209297,0.0007280454930048602,0.002289887362297314
-33.352705,-70.729207,-33.3569,-70.7273805556,4,800,0.49535552598078725,0.0007870762086539029,0.0021503064186646596
-33.3569,-70.7273805556,-33.352705,-70.729207,4,480,0.49535552598078725,0.00047224572519234177,0.0012901838511987958
-33.39229722,-70.5920138889,-33.39269,-70.59736,4,740,0.4992915722242885,0.0007280454930048602,0.00198903343726481
-33.39269,-70.59736,-33.39229722,-70.5920138889,4,480,0.4992915722242885,0.00047224572519234177,0.0012901838511987958
-33.411194,-70.588389,-33.415501,-70.586792,4,500,0.5002602308847941,0.0004919226304086893,0.0013439415116654123
-33.46171111,-70.6457694444,-33.457193,-70.645506,3,800,0.5017137354434705,0.0007870762086539029,0.0024755539051862854
-33.4407505,-70.6149041,-33.437893,-70.610703,4,520,0.503043240113722,0.0005115995356250369,0.0013976991721320288
