lat_O,lon_O,lat_D,lon_D,group,count,distance,norm_total,norm_group
-33.61030556,-70.70419444,-33.611416,-70.705406,3,420,0.1667686457032405,0.000532643433267387,0.0016484810424680116
-33.611416,-70.705406,-33.61030556,-70.70419444,3,660,0.1667686457032405,0.0008370111094201795,0.0025904702095925895
-33.448898,-70.652397,-33.447539,-70.651178,4,500,0.18858815701388068,0.0006340993253183179,0.0017600675865953252
-33.414167,-70.580833,-33.414636,-70.583264,4,440,0.23202292247534959,0.0005580074062801197,0.0015488594762038863
-33.413937,-70.652961,-33.414,-70.65553,4,500,0.23905602777667292,0.0006340993253183179,0.0017600675865953252
-33.42942,-70.64539,-33.428677,-70.642776,4,460,0.2566854605950191,0.0005833713792928524,0.0016192621796676993
-33.428677,-70.642776,-33.42942,-70.64539,4,720,0.2566854605950191,0.0009131030284583778,0.0025344973246972683
-33.432536,-70.66867,-33.434583,-70.667222,4,440,0.2639654650330027,0.0005580074062801197,0.0015488594762038863
-33.447884,-70.645272,-33.449436,-70.647504,4,720,0.26962506155889326,0.0009131030284583778,0.0025344973246972683
-33.3997,-70.57774,-33.4022556,-70.5778,4,420,0.28350067252375755,0.000532643433267387,0.0014784567727400733
-33.454881,-70.626636,-33.457394,-70.625793,4,1180,0.28953250647157003,0.0014964744077512302,0.004153759504364967
-33.457394,-70.625793,-33.454881,-70.626636,4,1240,0.28953250647157003,0.0015725663267894283,0.004364967614756406
-33.4089,-70.56791,-33.4067,-70.5662,4,520,0.2912743845307596,0.0006594632983310506,0.0018304702900591382
-33.43370833,-70.6741027778,-33.433998,-70.6773,4,440,0.29905059287641256,0.0005580074062801197,0.0015488594762038863
-33.45112,-70.65425,-33.448898,-70.652397,4,440,0.3006963687113841,0.0005580074062801197,0.0015488594762038863
-33.448898,-70.652397,-33.45112,-70.65425,4,420,0.3006963687113841,0.000532643433267387,0.0014784567727400733
-33.446815,-70.639649,-33.44601,-70.642765,2,520,0.3031703408588719,0.0006594632983310506,0.0027219430485762143
-33.446815,-70.639649,-33.44601,-70.642765,4,640,0.3031703408588719,0.0008116471364074468,0.002252886510842016
-33.44601,-70.642765,-33.446815,-70.639649,2,700,0.3031703408588719,0.0008877390554456451,0.0036641541038525964
-33.416626,-70.534042,-33.419417,-70.534028,4,540,0.3095579040153718,0.0006848272713437833,0.0019008729935229513
-33.419417,-70.534028,-33.416626,-70.534042,4,480,0.3095579040153718,0.0006087353523055851,0.0016896648831315122
-33.454,-70.59581,-33.4556333,-70.5930528,4,500,0.31388901064269664,0.0006340993253183179,0.0017600675865953252
-33.448898,-70.652397,-33.446135,-70.653543,4,840,0.32444708301181496,0.001065286866534774,0.0029569135454801465
-33.4136139,-70.6112861,-33.415394,-70.608292,4,660,0.34137718012217777,0.0008370111094201795,0.0023232892143058292
-33.415501,-70.586792,-33.414636,-70.583264,4,480,0.34188742282413814,0.0006087353523055851,0.0016896648831315122
-33.4488,-70.6684,-33.451173,-70.666031,4,440,0.34320003116251785,0.0005580074062801197,0.0015488594762038863
-33.451173,-70.666031,-33.4488,-70.6684,4,620,0.34320003116251785,0.0007862831633947141,0.002182483807378203
-33.453567,-70.605164,-33.452523,-70.608743,4,480,0.35232087109219684,0.0006087353523055851,0.0016896648831315122
-33.452523,-70.608743,-33.453567,-70.605164,4,480,0.35232087109219684,0.0006087353523055851,0.0016896648831315122
-33.421299,-70.653191,-33.423917,-70.650656,3,460,0.374031986391247,0.0005833713792928524,0.0018054792369887745
-33.423917,-70.650656,-33.421299,-70.653191,3,480,0.374031986391247,0.0006087353523055851,0.001883978334249156
-33.423917,-70.650656,-33.421299,-70.653191,4,800,0.374031986391247,0.0010145589205093086,0.0028161081385525205
-33.421299,-70.653191,-33.423917,-70.650656,4,700,0.374031986391247,0.0008877390554456451,0.0024640946212334553
-33.44601,-70.642765,-33.44422,-70.64629,2,500,0.38319849275127726,0.0006340993253183179,0.0026172529313232833
-33.3878805556,-70.5434694444,-33.39104,-70.54533,4,500,0.39084408463678927,0.0006340993253183179,0.0017600675865953252
-33.437679,-70.660477,-33.434198,-70.661493,4,440,0.397477369477261,0.0005580074062801197,0.0015488594762038863
-33.4425,-70.758889,-33.44233,-70.763284,4,520,0.409099520673315,0.0006594632983310506,0.0018304702900591382
-33.384567,-70.639847,-33.381111,-70.641389,4,420,0.40928280405793477,0.000532643433267387,0.0014784567727400733
-33.384567,-70.639847,-33.381111,-70.641389,3,440,0.40928280405793477,0.0005580074062801197,0.001726980139728393
-33.4267,-70.6044,-33.424015,-70.607475,4,480,0.4128798319823515,0.0006087353523055851,0.0016896648831315122
-33.41642222,-70.6662694444,-33.419189,-70.663139,3,660,0.42301852154414776,0.0008370111094201795,0.0025904702095925895
-33.419189,-70.663139,-33.41642222,-70.6662694444,3,860,0.42301852154414776,0.0010906508395475067,0.003375461182196405
-33.366215,-70.726887,-33.369301,-70.724197,4,560,0.42405230506868097,0.000710191244356516,0.0019712756969867645
-33.369301,-70.724197,-33.366215,-70.726887,4,740,0.42405230506868097,0.0009384670014711105,0.0026049000281610814
-33.44601,-70.642765,-33.4424389,-70.6408278,2,700,0.43511347809714823,0.0008877390554456451,0.0036641541038525964
-33.4424389,-70.6408278,-33.44601,-70.642765,4,440,0.43511347809714823,0.0005580074062801197,0.0015488594762038863
-33.439838,-70.674465,-33.436549,-70.671503,4,760,0.4570939680006002,0.0009638309744838432,0.0026753027316248944
-33.436549,-70.671503,-33.439838,-70.674465,4,460,0.4570939680006002,0.0005833713792928524,0.0016192621796676993
-33.593806,-70.601639,-33.597679,-70.603363,3,1620,0.4584113875271818,0.00205448181403135,0.0063584268780909016
-33.597679,-70.603363,-33.593806,-70.601639,3,1240,0.4584113875271818,0.0015725663267894283,0.004866944030143653
-33.442442,-70.670556,-33.439838,-70.674465,4,640,0.4642543779300131,0.0008116471364074468,0.002252886510842016
-33.439838,-70.674465,-33.442442,-70.670556,4,760,0.4642543779300131,0.0009638309744838432,0.0026753027316248944
-33.440677,-70.728441,-33.43651111,-70.7278,4,620,0.46587714412232906,0.0007862831633947141,0.002182483807378203
-33.4220833333,-70.6023333333,-33.425759,-70.599658,4,440,0.4776074081110562,0.0005580074062801197,0.0015488594762038863
-33.425759,-70.599658,-33.4220833333,-70.6023333333,4,560,0.4776074081110562,0.000710191244356516,0.0019712756969867645
-33.4599,-70.690895,-33.4619,-70.6955,4,500,0.4821582872319059,0.0006340993253183179,0.0017600675865953252
-33.448898,-70.652397,-33.4445359,-70.6518484,4,500,0.48649262221995904,0.0006340993253183179,0.0017600675865953252
-33.411194,-70.588389,-33.412067,-70.593553,4,520,0.49000086355827605,0.0006594632983310506,0.0018304702900591382
-33.412067,-70.593553,-33.411194,-70.588389,4,480,0.49000086355827605,0.0006087353523055851,0.0016896648831315122
-33.4931,-70.6511,-33.495056,-70.655881,3,740,0.494430924209297,0.0009384670014711105,0.002904466598634116
-33.495056,-70.655881,-33.4931,-70.6511,3,740,0.494430924209297,0.0009384670014711105,0.002904466598634116
-33.352705,-70.729207,-33.3569,-70.7273805556,4,500,0.49535552598078725,0.0006340993253183179,0.0017600675865953252
-33.39269,-70.59736,-33.39229722,-70.5920138889,4,520,0.4992915722242885,0.0006594632983310506,0.0018304702900591382
-33.39229722,-70.5920138889,-33.39269,-70.59736,4,620,0.4992915722242885,0.0007862831633947141,0.002182483807378203
-33.4407505,-70.6149041,-33.437893,-70.610703,2,440,0.503043240113722,0.0005580074062801197,0.0023031825795644893
-33.437893,-70.610703,-33.4407505,-70.6149041,4,640,0.503043240113722,0.0008116471364074468,0.002252886510842016
-33.4407505,-70.6149041,-33.437893,-70.610703,4,420,0.503043240113722,0.000532643433267387,0.0014784567727400733
-33.4905,-70.77186,-33.4914027778,-70.7772,3,920,0.5062588496188699,0.0011667427585857048,0.003610958473977549
-33.4914027778,-70.7772,-33.4905,-70.77186,3,960,0.5062588496188699,0.0012174707046111702,0.003767956668498312
-33.515301,-70.686996,-33.519639,-70.689,2,500,0.5159088607292723,0.0006340993253183179,0.0026172529313232833
-33.519639,-70.689,-33.515301,-70.686996,2,440,0.5159088607292723,0.0005580074062801197,0.0023031825795644893
-33.451173,-70.666031,-33.449844,-70.660698,4,740,0.5172838942406778,0.0009384670014711105,0.0026049000281610814
-33.449844,-70.660698,-33.451173,-70.666031,4,480,0.5172838942406778,0.0006087353523055851,0.0016896648831315122
-33.43370833,-70.6741027778,-33.432536,-70.66867,4,640,0.521679276061266,0.0008116471364074468,0.002252886510842016
-33.418811,-70.581871,-33.414167,-70.580833,4,600,0.5240450610044942,0.0007609191903819814,0.00211208110391439
-33.414167,-70.580833,-33.418811,-70.581871,4,760,0.5240450610044942,0.0009638309744838432,0.0026753027316248944
