lat_O,lon_O,lat_D,lon_D,group,count,distance,norm_total,norm_group
-33.611416,-70.705406,-33.61030556,-70.70419444,3,440,0.1667686457032405,0.0008812337272181053,0.0027982701602645636
-33.61030556,-70.70419444,-33.611416,-70.705406,3,340,0.1667686457032405,0.0006809533346685359,0.0021622996692953447
-33.404861,-70.567,-33.4067,-70.5662,4,360,0.2171186052450291,0.0007210094131784498,0.001821125050586807
-33.414,-70.65553,-33.413937,-70.652961,4,320,0.23905602777667292,0.0006408972561586221,0.0016187778227438284
-33.449436,-70.647504,-33.447884,-70.645272,4,780,0.26962506155889326,0.0015621870618866412,0.003945770942938082
-33.447884,-70.645272,-33.449436,-70.647504,4,480,0.26962506155889326,0.0009613458842379332,0.0024281667341157424
-33.454881,-70.626636,-33.457394,-70.625793,4,1540,0.28953250647157003,0.0030843180452633685,0.007790368271954674
-33.457394,-70.625793,-33.454881,-70.626636,4,1440,0.28953250647157003,0.002884037652713799,0.007284500202347228
-33.4089,-70.56791,-33.4067,-70.5662,4,440,0.2912743845307596,0.0008812337272181053,0.002225819506272764
-33.433998,-70.6773,-33.43370833,-70.6741027778,4,380,0.29905059287641256,0.0007610654916883637,0.0019222986645082963
-33.45112,-70.65425,-33.448898,-70.652397,4,400,0.3006963687113841,0.0008011215701982776,0.0020234722784297854
-33.44601,-70.642765,-33.446815,-70.639649,4,740,0.3031703408588719,0.0014820749048668135,0.003743423715095103
-33.446815,-70.639649,-33.44601,-70.642765,4,700,0.3031703408588719,0.0014019627478469858,0.0035410764872521247
-33.44601,-70.642765,-33.446815,-70.639649,2,1060,0.3031703408588719,0.0021229721610254355,0.009228626153578268
-33.446815,-70.639649,-33.44601,-70.642765,2,820,0.3031703408588719,0.001642299218906469,0.0071391258923907365
-33.446135,-70.653543,-33.448898,-70.652397,4,360,0.32444708301181496,0.0007210094131784498,0.001821125050586807
-33.4136139,-70.6112861,-33.415394,-70.608292,4,560,0.34137718012217777,0.0011215701982775887,0.0028328611898017
-33.423589,-70.595797,-33.42058333,-70.5947638889,3,380,0.34693585984200603,0.0007610654916883637,0.0024166878656830325
-33.452523,-70.608743,-33.453567,-70.605164,4,480,0.35232087109219684,0.0009613458842379332,0.0024281667341157424
-33.453567,-70.605164,-33.452523,-70.608743,4,400,0.35232087109219684,0.0008011215701982776,0.0020234722784297854
-33.411255,-70.580444,-33.41064444,-70.5766194444,4,320,0.36213873875782127,0.0006408972561586221,0.0016187778227438284
