lat_O,lon_O,lat_D,lon_D,group,count,distance,norm_total,norm_group
-33.41407,-70.603843,-33.41325,-70.603778,4,420,0.09114844707863592,0.0005720512122037592,0.0015844273426889996
-33.611416,-70.705406,-33.61030556,-70.70419444,3,740,0.1667686457032405,0.0010078997548351948,0.0031108121742054818
-33.448898,-70.652397,-33.447539,-70.651178,4,560,0.18858815701388068,0.0007627349496050123,0.0021125697902519996
-33.404861,-70.567,-33.4067,-70.5662,4,420,0.2171186052450291,0.0005720512122037592,0.0015844273426889996
-33.413937,-70.652961,-33.414,-70.65553,4,520,0.23905602777667292,0.0007082538817760828,0.0019616719480911424
-33.42942,-70.64539,-33.428677,-70.642776,4,500,0.2566854605950191,0.000681013347861618,0.0018862230270107138
-33.428677,-70.642776,-33.42942,-70.64539,4,420,0.2566854605950191,0.0005720512122037592,0.0015844273426889996
-33.449436,-70.647504,-33.447884,-70.645272,4,440,0.26962506155889326,0.0005992917461182239,0.0016598762637694282
-33.447884,-70.645272,-33.449436,-70.647504,4,560,0.26962506155889326,0.0007627349496050123,0.0021125697902519996
-33.454881,-70.626636,-33.457394,-70.625793,4,1320,0.28953250647157003,0.0017978752383546717,0.004979628791308284
-33.457394,-70.625793,-33.454881,-70.626636,4,1120,0.28953250647157003,0.0015254698992100246,0.004225139580503999
-33.4089,-70.56791,-33.4067,-70.5662,4,480,0.2912743845307596,0.0006537728139471533,0.0018107741059302852
-33.433998,-70.6773,-33.43370833,-70.6741027778,4,500,0.29905059287641256,0.000681013347861618,0.0018862230270107138
-33.45112,-70.65425,-33.448898,-70.652397,4,400,0.3006963687113841,0.0005448106782892945,0.001508978421608571
-33.44601,-70.642765,-33.446815,-70.639649,2,700,0.3031703408588719,0.0009534186870062653,0.0039503386004514675
-33.446815,-70.639649,-33.44601,-70.642765,2,580,0.3031703408588719,0.000789975483519477,0.00327313769751693
-33.446815,-70.639649,-33.44601,-70.642765,4,700,0.3031703408588719,0.0009534186870062653,0.0026407122378149994
-33.419417,-70.534028,-33.416626,-70.534042,4,440,0.3095579040153718,0.0005992917461182239,0.0016598762637694282
-33.4556333,-70.5930528,-33.454,-70.59581,4,400,0.31388901064269664,0.0005448106782892945,0.001508978421608571
-33.448898,-70.652397,-33.446135,-70.653543,4,660,0.32444708301181496,0.0008989376191773359,0.002489814395654142
-33.4136139,-70.6112861,-33.415394,-70.608292,4,920,0.34137718012217777,0.0012530645600653772,0.003470650369699713
-33.415501,-70.586792,-33.414636,-70.583264,4,480,0.34188742282413814,0.0006537728139471533,0.0018107741059302852
-33.451173,-70.666031,-33.4488,-70.6684,4,400,0.34320003116251785,0.0005448106782892945,0.001508978421608571
-33.452523,-70.608743,-33.453567,-70.605164,4,560,0.35232087109219684,0.0007627349496050123,0.0021125697902519996
-33.47103,-70.64481,-33.472947,-70.64798,3,440,0.36336121069562405,0.0005992917461182239,0.0018496721035816377
-33.421299,-70.653191,-33.423917,-70.650656,4,600,0.374031986391247,0.0008172160174339417,0.0022634676324128564
-33.423917,-70.650656,-33.421299,-70.653191,4,600,0.374031986391247,0.0008172160174339417,0.0022634676324128564
-33.423917,-70.650656,-33.421299,-70.653191,3,560,0.374031986391247,0.0007627349496050123,0.0023541281318311754
-33.421299,-70.653191,-33.423917,-70.650656,3,440,0.374031986391247,0.0005992917461182239,0.0018496721035816377
-33.44601,-70.642765,-33.44422,-70.64629,2,660,0.38319849275127726,0.0008989376191773359,0.0037246049661399548
-33.423056,-70.589611,-33.425967,-70.59205,4,640,0.39458294873773136,0.0008716970852628711,0.0024143654745737136
-33.436549,-70.671503,-33.43370833,-70.6741027778,4,460,0.39713084303860596,0.0006265322800326886,0.0017353251848498566
-33.412067,-70.593553,-33.41571,-70.59356,4,440,0.4040523750882832,0.0005992917461182239,0.0016598762637694282
-33.4425,-70.758889,-33.44233,-70.763284,4,440,0.409099520673315,0.0005992917461182239,0.0016598762637694282
-33.384567,-70.639847,-33.381111,-70.641389,4,460,0.40928280405793477,0.0006265322800326886,0.0017353251848498566
-33.4267,-70.6044,-33.424015,-70.607475,4,460,0.4128798319823515,0.0006265322800326886,0.0017353251848498566
-33.419189,-70.663139,-33.41642222,-70.6662694444,3,760,0.42301852154414776,0.0010351402887496595,0.003194888178913738
-33.41642222,-70.6662694444,-33.419189,-70.663139,3,680,0.42301852154414776,0.0009261781530918006,0.002858584160080713
-33.369301,-70.724197,-33.366215,-70.726887,4,560,0.42405230506868097,0.0007627349496050123,0.0021125697902519996
-33.44601,-70.642765,-33.4424389,-70.6408278,2,520,0.43511347809714823,0.0007082538817760828,0.002934537246049661
